Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
13,7/16/1972,201,Orcières,Briançon,Stage with mountain(s),Eddy Merckx,BEL
14a,7/17/1972,51,Briançon,Valloire,Stage with mountain(s),Eddy Merckx,BEL
14b,7/17/1972,151,Valloire,Aix-les-Bains,Stage with mountain(s),Cyrille Guimard,FRA
15,7/18/1972,28,Aix-les-Bains,Le Revard,Stage with mountain(s),Cyrille Guimard,FRA
16,7/19/1972,198.5,Aix-les-Bains,Pontarlier,Hilly stage,Willy Teirlinck,BEL
17,7/20/1972,213,Pontarlier,Ballon d’Alsace,Hilly stage,Bernard Thévenet,FRA
18,7/21/1972,257.5,Vesoul,Auxerre,Plain stage,Marinus Wagtmans,NED
19,7/22/1972,230,Auxerre,Versailles,Plain stage,Joseph Bruyère,BEL
20a,7/23/1972,42,Versailles,Versailles,Individual time trial,Eddy Merckx,BEL
20b,7/23/1972,89,Versailles,Paris,Plain stage,Willy Teirlinck,BEL
P,6/26/1971,11,Mulhouse,Mulhouse,Team time trial,Molteni,
1a,6/27/1971,59.5,Mulhouse,Basel,Stage with mountain(s),Eric Leman,BEL
1b,6/27/1971,90,Basel,Freiburg,Plain stage,Gerben Karstens,NED
1c,6/27/1971,74.5,Freiburg,Mulhouse,Plain stage,Albert Van Vlierberghe,BEL
2,6/28/1971,144,Mulhouse,Strasbourg,Stage with mountain(s),Eddy Merckx,BEL
3,6/29/1971,165.5,Strasbourg,Nancy,Stage with mountain(s),Rini Wagtmans,NED
4,6/30/1971,242,Nancy,Marche-en-Famenne,Plain stage,Jean-Pierre Genet,FRA
5,7/1/1971,208.5,Dinant,Roubaix,Stage with mountain(s),Pietro Guerra,ITA
6a,7/2/1971,127.5,Roubaix,Amiens,Plain stage,Eric Leman,BEL
6b,7/2/1971,133.5,Amiens,Le Touquet,Plain stage,Mauro Simonetti,ITA
7,7/4/1971,257.5,Rungis,Nevers,Plain stage,Eric Leman,BEL
8,7/5/1971,221,Nevers,Puy de Dôme,Stage with mountain(s),Luis Ocaña,ESP
9,7/6/1971,153,Clermont-Ferrand,Saint-Étienne,Stage with mountain(s),Walter Godefroot,BEL
10,7/7/1971,188.5,Saint-Étienne,Grenoble,Stage with mountain(s),Bernard Thévenet,FRA
11,7/8/1971,134,Grenoble,Orcières,Stage with mountain(s),Luis Ocaña,ESP
12,7/10/1971,251,Orcières,Marseille,Plain stage,Luciano Armani,ITA
13,7/11/1971,16.3,Albi,Albi,Individual time trial,Eddy Merckx,BEL
14,7/12/1971,214.5,Revel,Luchon,Stage with mountain(s),José Manuel Fuente,ESP
15,7/13/1971,19.6,Luchon,Superbagnères,Stage with mountain(s),José Manuel Fuente,ESP
16a,7/14/1971,145,Luchon,Gourette,Stage with mountain(s),Bernard Labourdette,FRA
16b,7/14/1971,57.5,Gourette,Pau,Plain stage,Herman Van Springel,BEL
17,7/15/1971,188,Mont-de-Marsan,Bordeaux,Plain stage,Eddy Merckx,BEL
18,7/16/1971,244,Bordeaux,Poitiers,Plain stage,Jean-Pierre Danguillaume,FRA
19,7/17/1971,185,Blois,Versailles,Plain stage,Jan Krekels,NED
20,7/18/1971,53.8,Versailles,Paris,Individual time trial,Eddy Merckx,BEL
P,6/27/1970,7.4,Limoges,Limoges,Individual time trial,Eddy Merckx,BEL
1,6/27/1970,224.5,Limoges,La Rochelle,Plain stage,Cyrille Guimard,FRA
2,6/28/1970,200,La Rochelle,Angers,Plain stage,Italo Zilioli,ITA
3a,6/29/1970,10.7,Angers,Angers,Team time trial,Faemino–Faema,
3b,6/29/1970,140,Angers,Rennes,Plain stage,Marino Basso,ITA
4,6/30/1970,229,Rennes,Lisieux,Plain stage,Walter Godefroot,BEL
5a,7/1/1970,94.5,Lisieux,Rouen,Plain stage,Walter Godefroot,BEL
5b,7/1/1970,223,Rouen,Amiens,Plain stage,Jozef Spruyt,BEL
6,7/2/1970,135.5,Amiens,Valenciennes,Plain stage,Roger De Vlaeminck,BEL
7a,7/3/1970,120,Valenciennes,Forest,Plain stage,Eddy Merckx,BEL
7b,7/3/1970,7.2,Forest,Forest,Individual time trial,José Antonio Gonzalez Linares,ESP
8,7/4/1970,232.5,Ciney,Felsberg,Plain stage,Alain Vasseur,FRA
9,7/5/1970,269.5,Saarlouis,Mulhouse,Stage with mountain(s),Mogens Frey,DEN
10,7/6/1970,241,Belfort,Divonne-les-Bains,Stage with mountain(s),Eddy Merckx,BEL
11a,7/7/1970,8.8,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL
11b,7/7/1970,139.5,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Marino Basso,ITA
12,7/8/1970,194,Thonon-les-Bains,Grenoble,Stage with mountain(s),Eddy Merckx,BEL
13,7/9/1970,194.5,Grenoble,Gap,Stage with mountain(s),Primo Mori,ITA
14,7/10/1970,170,Gap,Mont Ventoux,Stage with mountain(s),Eddy Merckx,BEL
15,7/11/1970,140.5,Carpentras,Montpellier,Plain stage,Marinus Wagtmans,NED
16,7/12/1970,160,Montpellier,Toulouse,Plain stage,Albert Van Vlierberghe,BEL
17,7/13/1970,190,Toulouse,Saint-Gaudens,Plain stage,Luis Ocaña,ESP
18,7/14/1970,135.5,Saint-Gaudens,La Mongie,Stage with mountain(s),Bernard Thévenet,FRA
19,7/15/1970,185.5,Bagnères-de-Bigorre,Mourenx,Stage with mountain(s),Christian Raymond,FRA
20a,7/16/1970,223.5,Mourenx,Bordeaux,Plain stage,Rolf Wolfshohl,FRG
20b,7/16/1970,8.2,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL
21,7/17/1970,191.5,Ruffec,Tours,Plain stage,Marino Basso,ITA
22,7/18/1970,238.5,Tours,Versailles,Plain stage,Jean-Pierre Danguillaume,FRA
23,7/19/1970,54,Versailles,Paris,Individual time trial,Eddy Merckx,BEL
P,6/28/1969,10,Roubaix,Roubaix,Individual time trial,Rudi Altig,GER
1a,6/29/1969,147,Roubaix,Sint-Pieters-Woluwe,Plain stage,Marino Basso,ITA
1b,6/29/1969,16,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,Team time trial,Faema,
2,6/30/1969,182,Sint-Pieters-Woluwe,Maastricht,Plain stage,Julien Stevens,BEL
3,7/1/1969,213,Maastricht,Charleville-Mézières,Plain stage,Eric Leman,BEL
4,7/2/1969,214,Charleville-Mézières,Nancy,Plain stage,Rik Van Looy,BEL
5,7/3/1969,194,Nancy,Mulhouse,Stage with mountain(s),Joaquim Agostinho,POR
6,7/4/1969,133,Mulhouse,Ballon d’Alsace,Stage with mountain(s),Eddy Merckx,BEL
7,7/5/1969,241,Belfort,Divonne-les-Bains,Stage with mountain(s),Mariano Diaz,ESP
8a,7/6/1969,9,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL
8b,7/6/1969,137,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Michele Dancelli,ITA
9,7/7/1969,111,Thonon-les-Bains,Chamonix,Stage with mountain(s),Roger Pingeon,FRA
10,7/8/1969,221,Chamonix,Briançon,Stage with mountain(s),Herman Van Springel,BEL
11,7/9/1969,198,Briançon,Digne,Stage with mountain(s),Eddy Merckx,BEL
12,7/10/1969,161,Digne,Aubagne,Stage with mountain(s),Felice Gimondi,ITA
13,7/11/1969,196,Aubagne,La Grande-Motte,Plain stage,Guido Reybrouck,BEL
14,7/12/1969,234,La Grande-Motte,Revel,Plain stage,Joaquim Agostinho,POR
15,7/13/1969,19,Revel,Revel,Individual time trial,Eddy Merckx,BEL
16,7/14/1969,199,Castelnaudary,Luchon,Stage with mountain(s),Raymond Delisle,FRA
17,7/15/1969,214,Luchon,Mourenx,Stage with mountain(s),Eddy Merckx,BEL
18,7/16/1969,201,Mourenx,Bordeaux,Plain stage,Barry Hoban,GBR
19,7/17/1969,193,Bordeaux,Brive,Plain stage,Barry Hoban,GBR
20,7/18/1969,198,Brive,Puy de Dôme,Stage with mountain(s),Pierre Matignon,FRA
21,7/19/1969,329,Clermont-Ferrand,Montargis,Plain stage,Herman Van Springel,BEL
22a,7/20/1969,111,Montargis,Créteil,Plain stage,Jozef Spruyt,BEL
22b,7/20/1969,37,Créteil,Paris,Individual time trial,Eddy Merckx,BEL
1a,6/27/1968,6.1,Vittel,Vittel,Individual time trial,Charly Grosskost,FRA
1b,6/28/1968,189,Vittel,Esch-sur-Alzette,Plain stage,Charly Grosskost,FRA
2,6/29/1968,210.5,Arlon,Forest,Plain stage,Eric de Vlaeminck,BEL
3a,6/30/1968,22,Forest,Forest,Team time trial,Belgium A,
3b,6/30/1968,112,Forest,Roubaix,Plain stage,Walter Godefroot,BEL
4,7/1/1968,238,Roubaix,Rouen,Plain stage,Georges Chappe,FRA
5a,7/2/1968,165,Rouen,Bagnoles-de-l'Orne,Plain stage,André Desvages,FRA
5b,7/2/1968,154.5,Bagnoles-de-l'Orne,Dinard,Plain stage,Jean Dumont,FRA
6,7/3/1968,188,Dinard,Lorient,Plain stage,Aurelio González Puente,ESP
7,7/4/1968,190,Lorient,Nantes,Plain stage,Franco Bitossi,ITA
8,7/5/1968,223,Nantes,Royan,Plain stage,Daniel van Ryckeghem,BEL
9,7/7/1968,137.5,Royan,Bordeaux,Plain stage,Walter Godefroot,BEL
10,7/8/1968,202.5,Bordeaux,Bayonne,Plain stage,Gilbert Bellone,FRA
11,7/9/1968,183.5,Bayonne,Pau,Plain stage,Daniel van Ryckeghem,BEL
12,7/10/1968,226.5,Pau,Saint-Gaudens,Stage with mountain(s),Georges Pintens,BEL
13,7/11/1968,208.5,Saint-Gaudens,La Seu d'Urgell,Stage with mountain(s),Herman Van Springel,BEL
14,7/12/1968,231.5,La Seu d'Urgell,Perpignan,Stage with mountain(s),Jan Janssen,NED
15,7/14/1968,250.5,Font-Romeu-Odeillo-Via,Albi,Plain stage,Roger Pingeon,FRA
16,7/15/1968,199,Albi,Aurillac,Plain stage,Franco Bitossi,ITA
17,7/16/1968,236.5,Aurillac,Saint-Étienne,Stage with mountain(s),Jean-Pierre Genet,FRA
18,7/17/1968,235,Saint-Étienne,Grenoble,Stage with mountain(s),Roger Pingeon,FRA
19,7/18/1968,200,Grenoble,Sallanches,Stage with mountain(s),Barry Hoban,GBR
20,7/19/1968,242.5,Sallanches,Besançon,Stage with mountain(s),Jozef Huysmans,BEL
21,7/20/1968,242,Besançon,Auxerre,Plain stage,Eric Leman,BEL
22a,7/21/1968,136,Auxerre,Melun,Plain stage,Maurice Izier,FRA
22b,7/21/1968,55.2,Melun,Paris,Individual time trial,Jan Janssen,NED
1a,6/29/1967,5.775,Angers,Angers,Individual time trial,José-Maria Errandonea,ESP
1b,6/30/1967,185.5,Angers,Saint-Malo,Plain stage,Walter Godefroot,BEL
2,7/1/1967,180,Saint-Malo,Caen,Plain stage,Willy Van Neste,BEL
3,7/2/1967,248,Caen,Amiens,Plain stage,Marino Basso,ITA
4,7/3/1967,191,Amiens,Roubaix,Plain stage,Guido Reybrouck,BEL
5a,7/4/1967,172,Roubaix,Jambes,Plain stage,Roger Pingeon,FRA
5b,7/4/1967,17,Jambes,Jambes,Team time trial,Belgium,
6,7/5/1967,238,Jambes,Metz,Plain stage,Herman Van Springel,BEL
7,7/6/1967,205.5,Metz,Strasbourg,Stage with mountain(s),Michael Wright,GBR
8,7/7/1967,215,Strasbourg,Belfort/Ballon d’Alsace,Stage with mountain(s),Lucien Aimar,FRA
9,7/9/1967,238.5,Belfort,Divonne-les-Bains,Stage with mountain(s),Guido Reybrouck,BEL
10,7/10/1967,243,Divonne-les-Bains,Briançon,Stage with mountain(s),Felice Gimondi,ITA
11,7/11/1967,197,Briançon,Digne,Stage with mountain(s),José Samyn,FRA
12,7/12/1967,207.5,Digne,Marseille,Plain stage,Raymond Riotte,FRA
13,7/13/1967,211.5,Marseille,Carpentras,Stage with mountain(s),Jan Janssen,NED
14,7/14/1967,201.5,Carpentras,Sète,Plain stage,Barry Hoban,GBR
15,7/16/1967,230.5,Sète,Toulouse,Plain stage,Rolf Wolfshohl,FRG
16,7/17/1967,188,Toulouse,Luchon,Stage with mountain(s),Fernando Manzaneque,ESP
17,7/18/1967,250,Luchon,Pau,Stage with mountain(s),Raymond Mastrotto,FRA
18,7/19/1967,206.5,Pau,Bordeaux,Plain stage,Marino Basso,ITA
19,7/20/1967,217,Bordeaux,Limoges,Plain stage,Jean Stablinski,FRA
20,7/21/1967,222,Limoges,Puy de Dôme,Stage with mountain(s),Felice Gimondi,ITA
21,7/22/1967,359,Clermont-Ferrand,Fontainebleau,Plain stage,Paul Lemeteyer,FRA
22a,7/23/1967,104,Fontainebleau,Versailles,Plain stage,René Binggeli,SUI
22b,7/23/1967,46.6,Versailles,Paris,Individual time trial,Raymond Poulidor,FRA
1,6/21/1966,209,Nancy,Charleville,Plain stage,Rudi Altig,FRG
2,6/22/1966,198,Charleville,Tournai,Plain stage,Guido Reybrouck,BEL
3a,6/23/1966,21,Tournai,Tournai,Team time trial,Televizier–Batavus,
3b,6/23/1966,131,Tournai,Dunkirk,Plain stage,Gerben Karstens,NED
4,6/24/1966,205,Dunkirk,Dieppe,Plain stage,Willy Planckaert,BEL
5,6/25/1966,178,Dieppe,Caen,Plain stage,Franco Bitossi,ITA
6,6/26/1966,217,Caen,Angers,Plain stage,Edward Sels,BEL
7,6/27/1966,252,Angers,Royan,Plain stage,Albert Van Vlierberghe,BEL
8,6/28/1966,138,Royan,Bordeaux,Plain stage,Willy Planckaert,BEL
9,6/29/1966,201,Bordeaux,Bayonne,Plain stage,Gerben Karstens,NED
10,6/30/1966,234,Bayonne,Pau,Stage with mountain(s),Tommaso de Pra,ITA
11,7/1/1966,188,Pau,Luchon,Stage with mountain(s),Guido Marcello Mugnaini,ITA
12,7/3/1966,219,Luchon,Revel,Stage with mountain(s),Rudi Altig,FRG
13,7/4/1966,191,Revel,Sète,Plain stage,Georges Vandenberghe,BEL
14a,7/5/1966,144,Montpellier,Vals-les-Bains,Plain stage,Jo de Roo,NED
14b,7/5/1966,20,Vals-les-Bains,Vals-les-Bains,Individual time trial,Raymond Poulidor,FRA
15,7/6/1966,203,Privas,Le Bourg-d'Oisans,Stage with mountain(s),Luís Otano,ESP
16,7/7/1966,148,Le Bourg-d'Oisans,Briançon,Stage with mountain(s),Julio Jiménez,ESP
17,7/8/1966,160,Briançon,Turin,Stage with mountain(s),Franco Bitossi,ITA
18,7/10/1966,188,Ivrea,Chamonix,Stage with mountain(s),Edy Schutz,LUX
19,7/11/1966,265,Chamonix,Saint-Étienne,Stage with mountain(s),Ferdinand Bracke,BEL
20,7/12/1966,223,Saint-Étienne,Montluçon,Plain stage,Henk Nijdam,NED
21,7/13/1966,232,Montluçon,Orléans,Plain stage,Pierre Beuffeuil,FRA
22a,7/14/1966,111,Orléans,Rambouillet,Plain stage,Edward Sels,BEL
22b,7/14/1966,51,Rambouillet,Paris,Individual time trial,Rudi Altig,FRG
1a,6/22/1965,149,Cologne,Liège,Plain stage,Rik Van Looy,BEL
1b,6/22/1965,22.5,Liège,Liège,Team time trial,Ford France–Gitane,
2,6/23/1965,200.5,Liège,Roubaix,Plain stage,Bernard Van De Kerkhove,BEL
3,6/24/1965,240,Roubaix,Rouen,Plain stage,Felice Gimondi,ITA
4,6/25/1965,227,Caen,Saint-Brieuc,Plain stage,Edgard Sorgeloos,BEL
5a,6/26/1965,147,Saint-Brieuc,Châteaulin,Plain stage,Cees van Espen,NED
5b,6/26/1965,26.7,Châteaulin,Châteaulin,Individual time trial,Raymond Poulidor,FRA
6,6/27/1965,210.5,Quimper,La Baule,Plain stage,Guido Reybroeck,BEL
7,6/28/1965,219,La Baule,La Rochelle,Plain stage,Edward Sels,BEL
8,6/29/1965,197.5,La Rochelle,Bordeaux,Plain stage,Johan de Roo,NED
9,6/30/1965,226.5,Dax,Bagnères-de-Bigorre,Stage with mountain(s),Julio Jiménez,ESP
10,7/1/1965,222.5,Bagnères-de-Bigorre,Ax-les-Thermes,Stage with mountain(s),Guido Reybroeck,BEL
11,7/2/1965,240.5,Ax-les-Thermes,Barcelona,Stage with mountain(s),José Perez-Frances,ESP
12,7/4/1965,219,Barcelona,Perpignan,Plain stage,Jan Janssen,NED
13,7/5/1965,164,Perpignan,Montpellier,Plain stage,Adriano Durante,ITA
14,7/6/1965,173,Montpellier,Mont Ventoux,Stage with mountain(s),Raymond Poulidor,FRA
15,7/7/1965,167.5,Carpentras,Gap,Stage with mountain(s),Giuseppe Fezzardi,ITA
16,7/8/1965,177,Gap,Briançon,Stage with mountain(s),Joaquim Galera,ESP
17,7/9/1965,193.5,Briançon,Aix-les-Bains,Stage with mountain(s),Julio Jiménez,ESP
18,7/10/1965,26.9,Aix-les-Bains,Le Revard,Mountain time trial,Felice Gimondi,ITA
19,7/11/1965,165,Aix-les-Bains,Lyon,Stage with mountain(s),Rik Van Looy,BEL
20,7/12/1965,198.5,Lyon,Auxerre,Plain stage,Michael Wright,GBR
21,7/13/1965,225.5,Auxerre,Versailles,Plain stage,Gerben Karstens,NED
22,7/14/1965,37.8,Versailles,Paris,Individual time trial,Felice Gimondi,ITA
1,6/22/1964,215,Rennes,Lisieux,Plain stage,Edward Sels,BEL
2,6/23/1964,208,Lisieux,Amiens,Plain stage,André Darrigade,FRA
3a,6/24/1964,197,Amiens,Forest,Plain stage,Bernard Vandekerkhove,BEL
3b,6/24/1964,21,Forest,Forest,Team time trial,Kas–Kaskol,
4,6/25/1964,292,Forest,Metz,Plain stage,Rudi Altig,GER
5,6/26/1964,161,Lunéville,Freiburg,Plain stage,Willy Derboven,BEL
6,6/27/1964,200,Freiburg,Besançon,Plain stage,Henk Nijdam,NED
7,6/28/1964,195,Besançon,Thonon-les-Bains,Plain stage,Jan Janssen,NED
8,6/29/1964,249,Thonon-les-Bains,Briançon,Stage with mountain(s),Federico Bahamontes,ESP
9,6/30/1964,239,Briançon,Monaco,Stage with mountain(s),Jacques Anquetil,FRA
10a,7/1/1964,187,Monaco,Hyères,Plain stage,Jan Janssen,NED
10b,7/1/1964,21,Hyères,Toulon,Individual time trial,Jacques Anquetil,FRA
11,7/2/1964,250,Toulon,Montpellier,Plain stage,Edward Sels,BEL
12,7/3/1964,174,Montpellier,Perpignan,Plain stage,Jo de Roo,NED
13,7/4/1964,170,Perpignan,Andorra,Stage with mountain(s),Julio Jiménez,ESP
14,7/6/1964,186,Andorra,Toulouse,Stage with mountain(s),Edward Sels,BEL
15,7/7/1964,203,Toulouse,Luchon,Stage with mountain(s),Raymond Poulidor,FRA
16,7/8/1964,197,Luchon,Pau,Stage with mountain(s),Federico Bahamontes,ESP
17,7/9/1964,43,Peyrehorade,Bayonne,Individual time trial,Jacques Anquetil,FRA
18,7/10/1964,187,Bayonne,Bordeaux,Plain stage,André Darrigade,FRA
19,7/11/1964,215,Bordeaux,Brive,Plain stage,Edward Sels,BEL
20,7/12/1964,217,Brive,Puy de Dôme,Stage with mountain(s),Julio Jiménez,ESP
21,7/13/1964,311,Clermont-Ferrand,Orléans,Plain stage,Jean Stablinski,FRA
22a,7/14/1964,119,Orléans,Versailles,Plain stage,Benoni Beheyt,BEL
22b,7/14/1964,27,Versailles,Paris,Individual time trial,Jacques Anquetil,FRA
1,6/23/1963,152,Paris,Épernay,Plain stage,Eddy Pauwels,BEL
2a,6/24/1963,186,Reims,Jambes,Plain stage,Rik Van Looy,BEL
2b,6/24/1963,22,Jambes,Jambes,Team time trial,Pelforth–Sauvage–Lejeune,
3,6/25/1963,223,Jambes,Roubaix,Plain stage,Seamus Elliott,IRL
4,6/26/1963,236,Roubaix,Rouen,Plain stage,Frans Melckenbeeck,BEL
5,6/27/1963,285,Rouen,Rennes,Plain stage,Antonio Bailetti,ITA
6a,6/28/1963,118,Rennes,Angers,Plain stage,Roger de Breuker,BEL
6b,6/28/1963,25,Angers,Angers,Individual time trial,Jacques Anquetil,FRA
7,6/29/1963,236,Angers,Limoges,Plain stage,Jan Janssen,NED
8,6/30/1963,232,Limoges,Bordeaux,Plain stage,Rik Van Looy,BEL
9,7/1/1963,202,Bordeaux,Pau,Plain stage,Pino Cerami,BEL
10,7/2/1963,148,Pau,Bagnères-de-Bigorre,Stage with mountain(s),Jacques Anquetil,FRA
11,7/3/1963,131,Bagnères-de-Bigorre,Luchon,Stage with mountain(s),Guy Ignolin,FRA
12,7/4/1963,173,Luchon,Toulouse,Stage with mountain(s),André Darrigade,FRA
13,7/5/1963,234,Toulouse,Aurillac,Plain stage,Rik Van Looy,BEL
14,7/7/1963,237,Aurillac,Saint-Étienne,Plain stage,Guy Ignolin,FRA
15,7/8/1963,174,Saint-Étienne,Grenoble,Stage with mountain(s),Federico Bahamontes,ESP
16,7/9/1963,202,Grenoble,Val d'Isère,Stage with mountain(s),Fernando Manzaneque,ESP
17,7/10/1963,228,Val d'Isère,Chamonix,Stage with mountain(s),Jacques Anquetil,FRA
18,7/11/1963,225,Chamonix,Lons-le-Saunier,Stage with mountain(s),Frans Brands,BEL
19,7/12/1963,54,Arbois,Besançon,Individual time trial,Jacques Anquetil,FRA
20,7/13/1963,234,Besançon,Troyes,Plain stage,Roger de Breuker,BEL
21,7/14/1963,185,Troyes,Paris,Plain stage,Rik Van Looy,BEL
1,6/24/1962,253,Nancy,Spa,Plain stage,Rudi Altig,FRG
2a,6/25/1962,147,Spa,Herentals,Plain stage,André Darrigade,FRA
2b,6/25/1962,23,Herentals,Herentals,Team time trial,Faema–Flandria–Clement,
3,6/26/1962,210,Brussels,Amiens,Plain stage,Rudi Altig,FRG
4,6/27/1962,196.5,Amiens,Le Havre,Plain stage,Willy Vanden Berghen,BEL
5,6/28/1962,215,Pont l'Evêque,Saint-Malo,Plain stage,Emile Daems,BEL
6,6/29/1962,235.5,Dinard,Brest,Plain stage,Robert Cazala,FRA
7,6/30/1962,201,Quimper,Saint-Nazaire,Plain stage,Huub Zilverberg,NED
8a,7/1/1962,155,Saint-Nazaire,Luçon,Plain stage,Mario Minieri,ITA
8b,7/1/1962,43,Luçon,La Rochelle,Individual time trial,Jacques Anquetil,FRA
9,7/2/1962,214,La Rochelle,Bordeaux,Plain stage,Antonio Bailetti,ITA
10,7/3/1962,184.5,Bordeaux,Bayonne,Plain stage,Willy Vannitsen,BEL
11,7/4/1962,155.5,Bayonne,Pau,Plain stage,Eddy Pauwels,BEL
12,7/5/1962,207.5,Pau,Saint-Gaudens,Stage with mountain(s),Robert Cazala,FRA
13,7/6/1962,18.5,Luchon,Superbagnères,Mountain time trial,Federico Bahamontes,ESP
14,7/7/1962,215,Luchon,Carcassonne,Stage with mountain(s),Jean Stablinski,FRA
15,7/8/1962,196.5,Carcassonne,Montpellier,Plain stage,Willy Vannitsen,BEL
16,7/9/1962,185,Montpellier,Aix-en-Provence,Plain stage,Emile Daems,BEL
17,7/10/1962,201,Aix-en-Provence,Antibes,Plain stage,Rudi Altig,FRG
18,7/11/1962,241.5,Antibes,Briançon,Stage with mountain(s),Emile Daems,BEL
19,7/12/1962,204.5,Briançon,Aix-les-Bains,Stage with mountain(s),Raymond Poulidor,FRA
20,7/13/1962,68,Bourgoin,Lyon,Individual time trial,Jacques Anquetil,FRA
21,7/14/1962,232,Lyon,Nevers,Plain stage,Dino Bruni,ITA
22,7/15/1962,271,Nevers,Paris,Plain stage,Rino Benedetti,ITA
1a,6/25/1961,136.5,Rouen,Versailles,Plain stage,André Darrigade,FRA
1b,6/25/1961,28.5,Versailles,Versailles,Individual time trial,Jacques Anquetil,FRA
2,6/26/1961,230.5,Pontoise,Roubaix,Plain stage,André Darrigade,FRA
3,6/27/1961,197.5,Roubaix,Charleroi,Plain stage,Emile Daems,BEL
4,6/28/1961,237.5,Charleroi,Metz,Plain stage,Anatole Novak,FRA
5,6/29/1961,221,Metz,Strasbourg,Stage with mountain(s),Louis Bergaud,FRA
6,6/30/1961,180.5,Strasbourg,Belfort,Stage with mountain(s),Jozef Planckaert,BEL
7,7/1/1961,214.5,Belfort,Chalon-sur-Saône,Plain stage,Jean Stablinski,FRA
8,7/2/1961,240.5,Chalon-sur-Saône,Saint-Étienne,Stage with mountain(s),Jean Forestier,FRA
9,7/3/1961,230,Saint-Étienne,Grenoble,Stage with mountain(s),Charly Gaul,LUX
10,7/4/1961,250.5,Grenoble,Turin,Stage with mountain(s),Guy Ignolin,FRA
11,7/5/1961,225,Turin,Antibes,Stage with mountain(s),Guido Carlesi,ITA
12,7/6/1961,199,Antibes,Aix-en-Provence,Stage with mountain(s),Michel Van Aerde,BEL
13,7/7/1961,177.5,Aix-en-Provence,Montpellier,Plain stage,André Darrigade,FRA
14,7/9/1961,174,Montpellier,Perpignan,Plain stage,Eddy Pauwels,BEL
15,7/10/1961,206,Perpignan,Toulouse,Plain stage,Guido Carlesi,ITA
16,7/11/1961,208,Toulouse,Superbagnères,Stage with mountain(s),Imerio Massignan,ITA
17,7/12/1961,197,Luchon,Pau,Stage with mountain(s),Eddy Pauwels,BEL
18,7/13/1961,207,Pau,Bordeaux,Plain stage,Martin Van Geneugden,BEL
19,7/14/1961,74.5,Bergerac,Périgueux,Individual time trial,Jacques Anquetil,FRA
20,7/15/1961,309.5,Périgueux,Tours,Plain stage,André Darrigade,FRA
21,7/16/1961,252.5,Tours,Paris,Plain stage,Robert Cazala,FRA
1a,6/26/1960,108,Lille,Brussels,Plain stage,Julien Schepens,BEL
1b,6/26/1960,27.8,Brussels,Brussels,Individual time trial,Roger Rivière,FRA
2,6/27/1960,206,Brussels,Dunkirk,Plain stage,René Privat,FRA
3,6/28/1960,209,Dunkirk,Dieppe,Plain stage,Nino Defilippis,ITA
4,6/29/1960,211,Dieppe,Caen,Plain stage,Jean Graczyk,FRA
5,6/30/1960,189,Caen,Saint-Malo,Plain stage,André Darrigade,FRA
6,7/1/1960,191,Saint-Malo,Lorient,Plain stage,Roger Rivière,FRA
7,7/2/1960,244,Lorient,Angers,Plain stage,Graziano Battistini,ITA
8,7/3/1960,240,Angers,Limoges,Plain stage,Nino Defilippis,ITA
9,7/4/1960,225,Limoges,Bordeaux,Plain stage,Martin van Geneugden,BEL
10,7/5/1960,228,Mont-de-Marsan,Pau,Stage with mountain(s),Roger Rivière,FRA
11,7/6/1960,161,Pau,Luchon,Stage with mountain(s),Kurt Gimmi,SUI
12,7/7/1960,176,Luchon,Toulouse,Stage with mountain(s),Jean Graczyk,FRA
13,7/8/1960,224,Toulouse,Millau,Plain stage,Louis Proost,FRA
14,7/10/1960,217,Millau,Avignon,Stage with mountain(s),Martin van Geneugden,BEL
15,7/11/1960,187,Avignon,Gap,Stage with mountain(s),Michel Van Aerde,BEL
16,7/12/1960,172,Gap,Briançon,Stage with mountain(s),Graziano Battistini,ITA
17,7/13/1960,229,Briançon,Aix-les-Bains,Stage with mountain(s),Jean Graczyk,FRA
18,7/14/1960,215,Aix-les-Bains,Thonon-les-Bains,Stage with mountain(s),Fernando Manzaneque,ESP
19,7/15/1960,83,Pontarlier,Besançon,Individual time trial,Rolf Graf,SUI
20,7/16/1960,229,Besançon,Troyes,Plain stage,Pierre Beuffeuil,FRA
21,7/17/1960,200,Troyes,Paris,Plain stage,Jean Graczyk,FRA
1,6/25/1959,238,Mulhouse,Metz,Plain stage,André Darrigade,FRA
2,6/26/1959,234,Metz,Namur,Plain stage,Vito Favero,ITA
3,6/27/1959,217,Namur,Roubaix,Plain stage,Robert Cazala,FRA
4,6/28/1959,230,Roubaix,Rouen,Plain stage,Dino Bruni,ITA
5,6/29/1959,286,Rouen,Rennes,Plain stage,Jean Graczyk,FRA
6,6/30/1959,45,Blain,Nantes,Individual time trial,Roger Rivière,FRA
7,7/1/1959,190,Nantes,La Rochelle,Plain stage,Roger Hassenforder,FRA
